Baseline MAPE (const=1.0): Train=46.95%, Val=46.42%
[INFO] New best model saved with val_mape_safe: 79.5467%
Epoch 12/500 => Train Loss: 98.2546, Val Loss: 98.2411, Best Loss: inf, SMAPE (T/V): 97.54/97.42, MAPE_safe (T/V): 80.33/79.55, Best MAPE_safe: 79.55%, Time: 54.17s
Epoch 13/500 => Train Loss: 98.2574, Val Loss: 98.2516, Best Loss: inf, SMAPE (T/V): 97.54/97.42, MAPE_safe (T/V): 80.33/79.55, Best MAPE_safe: 79.55%, Time: 52.59s
Epoch 14/500 => Train Loss: 98.2572, Val Loss: 98.2411, Best Loss: inf, SMAPE (T/V): 97.54/97.43, MAPE_safe (T/V): 80.33/79.55, Best MAPE_safe: 79.55%, Time: 52.55s
Epoch 15/500 => Train Loss: 98.2539, Val Loss: 98.2464, Best Loss: inf, SMAPE (T/V): 97.54/97.43, MAPE_safe (T/V): 80.33/79.55, Best MAPE_safe: 79.55%, Time: 52.68s
Epoch 16/500 => Train Loss: 98.2577, Val Loss: 98.2732, Best Loss: inf, SMAPE (T/V): 97.54/97.42, MAPE_safe (T/V): 80.33/79.55, Best MAPE_safe: 79.55%, Time: 64.30s
Epoch 17/500 => Train Loss: 98.2756, Val Loss: 98.2524, Best Loss: inf, SMAPE (T/V): 97.55/97.44, MAPE_safe (T/V): 80.33/79.55, Best MAPE_safe: 79.55%, Time: 52.90s
Epoch 18/500 => Train Loss: 98.2597, Val Loss: 98.2338, Best Loss: inf, SMAPE (T/V): 97.55/97.42, MAPE_safe (T/V): 80.33/79.55, Best MAPE_safe: 79.55%, Time: 52.76s
Epoch 19/500 => Train Loss: 98.2596, Val Loss: 98.2605, Best Loss: inf, SMAPE (T/V): 97.55/97.45, MAPE_safe (T/V): 80.33/79.55, Best MAPE_safe: 79.55%, Time: 53.57s
Epoch 20/500 => Train Loss: 98.2627, Val Loss: 98.2607, Best Loss: inf, SMAPE (T/V): 97.55/97.42, MAPE_safe (T/V): 80.33/79.55, Best MAPE_safe: 79.55%, Time: 53.82s
Epoch 21/500 => Train Loss: 98.2642, Val Loss: 98.2507, Best Loss: inf, SMAPE (T/V): 97.55/97.44, MAPE_safe (T/V): 80.33/79.55, Best MAPE_safe: 79.55%, Time: 53.84s
Epoch 22/500 => Train Loss: 98.2741, Val Loss: 98.2526, Best Loss: inf, SMAPE (T/V): 97.56/97.44, MAPE_safe (T/V): 80.33/79.55, Best MAPE_safe: 79.55%, Time: 52.79s
Epoch 23/500 => Train Loss: 98.2733, Val Loss: 98.3124, Best Loss: inf, SMAPE (T/V): 97.55/97.43, MAPE_safe (T/V): 80.33/79.54, Best MAPE_safe: 79.55%, Time: 52.91s
Epoch 24/500 => Train Loss: 98.2736, Val Loss: 98.2694, Best Loss: inf, SMAPE (T/V): 97.55/97.42, MAPE_safe (T/V): 80.33/79.55, Best MAPE_safe: 79.55%, Time: 52.84s
Epoch 25/500 => Train Loss: 98.2849, Val Loss: 98.2347, Best Loss: inf, SMAPE (T/V): 97.56/97.42, MAPE_safe (T/V): 80.33/79.55, Best MAPE_safe: 79.55%, Time: 52.76s
Epoch 26/500 => Train Loss: 98.2674, Val Loss: 98.2343, Best Loss: inf, SMAPE (T/V): 97.55/97.42, MAPE_safe (T/V): 80.33/79.55, Best MAPE_safe: 79.55%, Time: 52.83s
Epoch 27/500 => Train Loss: 98.2757, Val Loss: 98.3036, Best Loss: inf, SMAPE (T/V): 97.55/97.42, MAPE_safe (T/V): 80.33/79.54, Best MAPE_safe: 79.55%, Time: 52.86s
Epoch 28/500 => Train Loss: 98.3008, Val Loss: 98.2529, Best Loss: inf, SMAPE (T/V): 97.57/97.44, MAPE_safe (T/V): 80.33/79.55, Best MAPE_safe: 79.55%, Time: 52.88s
Epoch 29/500 => Train Loss: 98.2921, Val Loss: 98.2516, Best Loss: inf, SMAPE (T/V): 97.57/97.44, MAPE_safe (T/V): 80.33/79.55, Best MAPE_safe: 79.55%, Time: 52.78s
Epoch 30/500 => Train Loss: 98.2898, Val Loss: 98.2467, Best Loss: inf, SMAPE (T/V): 97.57/97.43, MAPE_safe (T/V): 80.33/79.55, Best MAPE_safe: 79.55%, Time: 52.77s
Epoch 31/500 => Train Loss: 98.2922, Val Loss: 98.2536, Best Loss: inf, SMAPE (T/V): 97.57/97.44, MAPE_safe (T/V): 80.33/79.55, Best MAPE_safe: 79.55%, Time: 52.87s
Epoch 32/500 => Train Loss: 98.2916, Val Loss: 98.2527, Best Loss: inf, SMAPE (T/V): 97.57/97.44, MAPE_safe (T/V): 80.33/79.55, Best MAPE_safe: 79.55%, Time: 54.12s
Epoch 33/500 => Train Loss: 98.2933, Val Loss: 98.3424, Best Loss: inf, SMAPE (T/V): 97.57/97.54, MAPE_safe (T/V): 80.33/79.55, Best MAPE_safe: 79.55%, Time: 53.99s
Epoch 34/500 => Train Loss: 98.2984, Val Loss: 98.2616, Best Loss: inf, SMAPE (T/V): 97.58/97.45, MAPE_safe (T/V): 80.33/79.55, Best MAPE_safe: 79.55%, Time: 53.86s
Epoch 35/500 => Train Loss: 98.2963, Val Loss: 98.2588, Best Loss: inf, SMAPE (T/V): 97.57/97.45, MAPE_safe (T/V): 80.33/79.55, Best MAPE_safe: 79.55%, Time: 53.74s
Epoch 36/500 => Train Loss: 98.3045, Val Loss: 98.2409, Best Loss: inf, SMAPE (T/V): 97.58/97.43, MAPE_safe (T/V): 80.33/79.55, Best MAPE_safe: 79.55%, Time: 53.74s
Epoch 37/500 => Train Loss: 98.2993, Val Loss: 98.3178, Best Loss: inf, SMAPE (T/V): 97.57/97.51, MAPE_safe (T/V): 80.33/79.55, Best MAPE_safe: 79.55%, Time: 53.81s
